2025.11.08 17:31:51 WARN  Using H2 2.4.240 which is newer than the version Flyway has been verified with. The latest verified version of H2 is 2.3.232.
2025.11.08 17:31:51 INFO  no build target found for /Users/arbnorbregu/gitHub/AzureDevWork/src/main/java/com/arbnororg/Function.java. Using fallback presentation compiler.
2025.11.08 17:31:51 INFO  no build target found for /Users/arbnorbregu/gitHub/AzureDevWork/src/main/java/com/arbnororg/Function.java. Using fallback presentation compiler.
2025.11.08 17:31:51 INFO  no build target found for /Users/arbnorbregu/gitHub/AzureDevWork/src/main/java/com/arbnororg/Function.java. Using fallback presentation compiler.
2025.11.08 17:31:52 INFO  no build target found for /Users/arbnorbregu/gitHub/AzureDevWork/src/main/java/com/arbnororg/Function.java. Using fallback presentation compiler.
2025.11.08 17:31:53 INFO  no build target found for /Users/arbnorbregu/gitHub/AzureDevWork/src/main/java/com/arbnororg/Function.java. Using fallback presentation compiler.
2025.11.08 17:31:53 INFO  no build target found for /Users/arbnorbregu/gitHub/AzureDevWork/src/main/java/com/arbnororg/Function.java. Using fallback presentation compiler.
2025.11.08 17:31:55 INFO  no build target found for /Users/arbnorbregu/gitHub/AzureDevWork/src/main/java/com/arbnororg/Function.java. Using fallback presentation compiler.
2025.11.08 17:31:55 INFO  no build target found for /Users/arbnorbregu/gitHub/AzureDevWork/src/main/java/com/arbnororg/Function.java. Using fallback presentation compiler.
2025.11.08 17:31:55 INFO  no build target found for /Users/arbnorbregu/gitHub/AzureDevWork/src/main/java/com/arbnororg/Function.java. Using fallback presentation compiler.
2025.11.08 17:31:55 INFO  no build target found for /Users/arbnorbregu/gitHub/AzureDevWork/src/main/java/com/arbnororg/Function.java. Using fallback presentation compiler.
2025.11.08 17:31:56 INFO  no build target found for /Users/arbnorbregu/gitHub/AzureDevWork/src/main/java/com/arbnororg/Function.java. Using fallback presentation compiler.
2025.11.08 17:31:57 INFO  no build target found for /Users/arbnorbregu/gitHub/AzureDevWork/src/main/java/com/arbnororg/Function.java. Using fallback presentation compiler.
2025.11.08 17:31:57 INFO  no build target found for /Users/arbnorbregu/gitHub/AzureDevWork/src/main/java/com/arbnororg/Function.java. Using fallback presentation compiler.
2025.11.08 17:31:59 INFO  no build target found for /Users/arbnorbregu/gitHub/AzureDevWork/src/main/java/com/arbnororg/Function.java. Using fallback presentation compiler.
2025.11.08 17:32:05 INFO  running '/Users/arbnorbregu/Library/Java/JavaVirtualMachines/ms-21.0.8/Contents/Home/bin/java -Dfile.encoding=UTF-8 -Dmaven.multiModuleProjectDirectory=/Users/arbnorbregu/gitHub/AzureDevWork -Dmaven.home=/var/folders/vp/432fjp4d78dcn67lp274tcj40000gn/T/metals5153582022742650225 -cp /var/folders/vp/432fjp4d78dcn67lp274tcj40000gn/T/metals5153582022742650225/maven-wrapper.jar org.apache.maven.wrapper.MavenWrapperMain generate-sources ch.epfl.scala:bloop-maven-plugin:2.0.1:bloopInstall -DdownloadSources=true'
2025.11.08 17:32:06 INFO  [INFO] Scanning for projects...
2025.11.08 17:32:06 INFO  Downloading from central: https://repo.maven.apache.org/maven2/ch/epfl/scala/bloop-maven-plugin/2.0.1/bloop-maven-plugin-2.0.1.pom
2025.11.08 17:32:06 INFO  Progress (1): 1.1 kB
2025.11.08 17:32:06 INFO  Progress (1): 2.5 kB
2025.11.08 17:32:06 INFO  Progress (1): 5.2 kB
2025.11.08 17:32:06 INFO  Progress (1): 7.0 kB
2025.11.08 17:32:06 INFO                      
2025.11.08 17:32:06 INFO  Downloaded from central: https://repo.maven.apache.org/maven2/ch/epfl/scala/bloop-maven-plugin/2.0.1/bloop-maven-plugin-2.0.1.pom (7.0 kB at 82 kB/s)
2025.11.08 17:32:06 INFO  Downloading from central: https://repo.maven.apache.org/maven2/ch/epfl/scala/bloop-maven-plugin/2.0.1/bloop-maven-plugin-2.0.1.jar
2025.11.08 17:32:06 INFO  Progress (1): 0.9/44 kB
2025.11.08 17:32:06 INFO  Progress (1): 2.3/44 kB
2025.11.08 17:32:06 INFO  Progress (1): 3.7/44 kB
2025.11.08 17:32:06 INFO  Progress (1): 5.0/44 kB
2025.11.08 17:32:06 INFO  Progress (1): 6.4/44 kB
2025.11.08 17:32:06 INFO  Progress (1): 7.8/44 kB
2025.11.08 17:32:06 INFO  Progress (1): 9.1/44 kB
2025.11.08 17:32:06 INFO  Progress (1): 11/44 kB 
2025.11.08 17:32:06 INFO  Progress (1): 12/44 kB
2025.11.08 17:32:06 INFO  Progress (1): 13/44 kB
2025.11.08 17:32:06 INFO  Progress (1): 15/44 kB
2025.11.08 17:32:06 INFO  Progress (1): 16/44 kB
2025.11.08 17:32:06 INFO  Progress (1): 17/44 kB
2025.11.08 17:32:06 INFO  Progress (1): 19/44 kB
2025.11.08 17:32:06 INFO  Progress (1): 20/44 kB
2025.11.08 17:32:06 INFO  Progress (1): 21/44 kB
2025.11.08 17:32:06 INFO  Progress (1): 23/44 kB
2025.11.08 17:32:06 INFO  Progress (1): 24/44 kB
2025.11.08 17:32:06 INFO  Progress (1): 25/44 kB
2025.11.08 17:32:06 INFO  Progress (1): 26/44 kB
2025.11.08 17:32:06 INFO  Progress (1): 27/44 kB
2025.11.08 17:32:06 INFO  Progress (1): 29/44 kB
2025.11.08 17:32:06 INFO  Progress (1): 30/44 kB
2025.11.08 17:32:06 INFO  Progress (1): 31/44 kB
2025.11.08 17:32:06 INFO  Progress (1): 33/44 kB
2025.11.08 17:32:06 INFO  Progress (1): 34/44 kB
2025.11.08 17:32:06 INFO  Progress (1): 36/44 kB
2025.11.08 17:32:06 INFO  Progress (1): 37/44 kB
2025.11.08 17:32:06 INFO  Progress (1): 38/44 kB
2025.11.08 17:32:06 INFO  Progress (1): 40/44 kB
2025.11.08 17:32:06 INFO  Progress (1): 41/44 kB
2025.11.08 17:32:06 INFO  Progress (1): 42/44 kB
2025.11.08 17:32:06 INFO  Progress (1): 44/44 kB
2025.11.08 17:32:06 INFO  Progress (1): 44 kB   
2025.11.08 17:32:06 INFO                     
2025.11.08 17:32:06 INFO  Downloaded from central: https://repo.maven.apache.org/maven2/ch/epfl/scala/bloop-maven-plugin/2.0.1/bloop-maven-plugin-2.0.1.jar (44 kB at 801 kB/s)
2025.11.08 17:32:06 INFO  [INFO] 
2025.11.08 17:32:06 INFO  [INFO] ---------------------< com.arbnororg:AzureDevWork >---------------------
2025.11.08 17:32:06 INFO  [INFO] Building Azure Java Functions 1.0-SNAPSHOT
2025.11.08 17:32:06 INFO  [INFO]   from pom.xml
2025.11.08 17:32:06 INFO  [INFO] --------------------------------[ jar ]---------------------------------
2025.11.08 17:32:06 INFO  [INFO] 
2025.11.08 17:32:06 INFO  [INFO] --- bloop:2.0.1:bloopInstall (default-cli) @ AzureDevWork ---
2025.11.08 17:32:06 INFO  Downloading from central: https://repo.maven.apache.org/maven2/org/scala-lang/scala-library/2.13.8/scala-library-2.13.8.pom
2025.11.08 17:32:06 INFO  Progress (1): 1.1 kB
2025.11.08 17:32:06 INFO  Progress (1): 1.6 kB
2025.11.08 17:32:06 INFO                      
